player_name,Pos,Age,Tm,G,salary,WAR,PPG,PPM,APG,APM,RPG,RPM,OPG,DPG,SPG,BPG,TPG,FPG,eFGp,PER,TSp,OWS,DWS,WS,WSpG
Gerald Green,SG,33,HOU,73,1512601,0.27,9.247,0.458,0.548,0.027,2.493,0.124,0.411,2.082,0.452,0.37,0.753,1.726,0.535,11.4,0.555,0.9,1,1.9,0.061
Giannis Antetokounmpo,PF,24,MIL,72,24157304,19.980000000000004,27.694,0.846,5.889,0.18,12.472,0.381,2.208,10.264,1.278,1.528,3.722,3.222,0.599,30.9,0.644,8.9,5.5,14.4,0.292
Goran Dragic,PG,32,MIA,36,18109175,0.54,13.722,0.498,4.833,0.176,3.083,0.112,0.556,2.528,0.833,0.139,1.972,2.25,0.479,13.9,0.517,0.6,1,1.6,0.079
Gordon Hayward,PF,28,BOS,72,31214295,3.5100000000000002,11.458,0.443,3.389,0.131,4.472,0.173,0.708,3.764,0.861,0.319,1.458,1.444,0.527,15.6,0.575,2.6,2.3,4.9,0.126
Gorgui Dieng,C,29,MIN,76,15170787,1.89,6.382,0.47,0.947,0.07,4.092,0.302,1.066,3.026,0.632,0.539,0.75,1.763,0.527,18.1,0.572,1.5,1.3,2.8,0.132
Grayson Allen,SG,23,UTA,38,2076960,-1.35,5.553,0.507,0.658,0.06,0.605,0.055,0.079,0.526,0.158,0.158,0.868,1.237,0.466,7.5,0.516,-0.4,0.4,0,0.002
Greg Monroe,C,28,TOT,43,2410167,-0.27,5.349,0.479,0.558,0.05,4,0.358,1.558,2.442,0.326,0.186,0.744,1.535,0.489,16,0.521,0.4,0.7,1.1,0.108
Guerschon Yabusele,PF,23,BOS,41,2667600,0,2.293,0.375,0.366,0.06,1.293,0.211,0.561,0.732,0.195,0.171,0.366,0.78,0.513,12.4,0.542,0.2,0.3,0.5,0.09
Hamidou Diallo,SG,20,OKC,51,838464,-0.81,3.725,0.361,0.333,0.032,1.902,0.184,0.745,1.157,0.412,0.196,0.451,1.51,0.467,10.1,0.497,0.1,0.7,0.8,0.069
Harrison Barnes,PF-SF,26,TOT,77,24107258,1.08,16.429,0.499,1.494,0.045,4.688,0.143,0.74,3.948,0.649,0.169,1.273,1.584,0.504,12.8,0.55,2,1.6,3.6,0.068
Harry Giles,PF,20,SAC,58,2207040,-0.54,7.034,0.498,1.466,0.104,3.828,0.271,1.138,2.69,0.534,0.379,1.259,2.586,0.503,14.4,0.526,0,1,1,0.056
Hassan Whiteside,C,29,MIA,72,24434262,4.86,12.319,0.53,0.778,0.033,11.347,0.488,3.569,7.778,0.639,1.889,1.347,2.667,0.572,23.5,0.564,2.3,4,6.3,0.18
Ian Clark,SG,27,NOP,60,1757429,-2.16,6.683,0.412,1.567,0.097,1.483,0.091,0.217,1.267,0.367,0.133,0.967,1.583,0.48,8.3,0.502,-0.4,0.3,-0.1,-0.003
Ian Mahinmi,C,32,WAS,34,16000000,-0.27,4.088,0.279,0.735,0.05,3.765,0.257,1.412,2.353,0.735,0.471,0.618,2.471,0.466,12,0.531,0.5,0.5,1,0.092
Iman Shumpert,SG,28,TOT,62,11011234,0,7.5,0.314,1.806,0.076,2.952,0.124,0.435,2.516,0.952,0.387,0.806,2.048,0.481,9.1,0.499,0.1,1.2,1.4,0.045
Isaiah Briscoe,PG,22,ORL,39,838464,-1.08,3.487,0.243,2.231,0.156,1.897,0.132,0.128,1.769,0.282,0.051,0.795,1.692,0.438,6.7,0.455,-0.3,0.5,0.3,0.023
Isaiah Canaan,PG,27,TOT,30,744671,-0.81,6.033,0.288,2.8,0.134,1.933,0.092,0.2,1.733,0.467,0.067,1.167,1.733,0.494,8,0.518,0,0.1,0.1,0.008
Ivan Rabb,PF,21,MEM,49,1378242,0.27,5.796,0.394,1.102,0.075,4.204,0.286,1.429,2.776,0.347,0.286,0.714,1.837,0.554,16.1,0.586,1.2,0.9,2.1,0.137
Ivica Zubac,C,21,TOT,59,1544951,1.08,8.898,0.505,1.068,0.061,6.136,0.348,1.949,4.186,0.237,0.864,1.186,2.322,0.559,18.9,0.604,1.9,1.3,3.2,0.148
Jabari Parker,PF,23,TOT,64,20000000,0.54,14.531,0.539,2.375,0.088,6.578,0.244,1.234,5.344,0.719,0.469,2.359,2.266,0.533,15.5,0.56,0.1,1.3,1.4,0.039
Jacob Evans,SG,21,GSW,30,1646400,-0.81,1.333,0.196,0.767,0.113,0.833,0.123,0.2,0.633,0.167,0.1,0.367,0.933,0.377,3.5,0.374,-0.3,0.2,-0.1,-0.03
Jae Crowder,SF,28,UTA,80,7305825,3.24,11.887,0.439,1.663,0.061,4.8,0.177,0.75,4.05,0.8,0.388,1.062,2.125,0.508,12.1,0.538,1.3,3.1,4.4,0.097
Jahlil Okafor,C,23,NOP,59,1567007,0.27,8.203,0.518,0.678,0.043,4.712,0.297,1.39,3.322,0.254,0.678,0.881,1.627,0.587,17.9,0.603,1.4,0.8,2.2,0.115
Jake Layman,SF,24,POR,71,1544951,1.35,7.62,0.408,0.746,0.04,3.056,0.164,0.789,2.268,0.437,0.423,0.648,1.634,0.579,13.5,0.594,1.9,1.2,3.1,0.111
Jalen Brunson,PG,22,DAL,73,1230000,0.27,9.288,0.426,3.151,0.145,2.315,0.106,0.342,1.973,0.507,0.055,1.205,1.74,0.523,12.8,0.549,1.5,1,2.6,0.077
Jamal Crawford,SG,38,PHO,64,4698113,-1.62,7.938,0.419,3.578,0.189,1.328,0.07,0.125,1.203,0.516,0.188,1.547,1.172,0.474,11.7,0.522,0.1,0,0.2,0.006
Jamal Murray,PG,21,DEN,75,3499800,4.32,18.227,0.559,4.84,0.148,4.227,0.13,0.867,3.36,0.893,0.36,2.107,2.04,0.502,16,0.538,2.8,2.3,5.1,0.1
James Ennis,SF,28,TOT,58,1621415,0.27,6.707,0.316,0.707,0.033,3.138,0.148,1.034,2.103,0.707,0.397,0.586,2.586,0.563,11,0.59,1.6,1,2.6,0.103
James Harden,PG,29,HOU,78,30570000,25.110000000000003,36.128,0.983,7.513,0.204,6.641,0.181,0.846,5.795,2.026,0.744,4.962,3.128,0.541,30.6,0.616,11.4,3.8,15.2,0.254
James Johnson,PF,31,MIA,55,14420700,0.54,7.782,0.368,2.455,0.116,3.2,0.151,0.4,2.8,0.636,0.491,1.345,2.073,0.499,10.9,0.522,0,1.5,1.5,0.062
JaMychal Green,PF,28,TOT,65,8066667,0.27,9.4,0.446,0.769,0.036,6.292,0.298,1.6,4.692,0.692,0.523,1.338,2.969,0.558,14.7,0.587,0.9,1.9,2.9,0.101
Jared Dudley,PF,33,BRK,59,9530000,0.27,4.864,0.235,1.407,0.068,2.627,0.127,0.576,2.051,0.61,0.271,0.729,2.22,0.533,7.8,0.554,0.6,1.2,1.8,0.07
Jarell Martin,PF,24,ORL,42,2416221,-0.54,2.738,0.351,0.429,0.055,1.738,0.223,0.262,1.476,0.071,0.19,0.262,1.214,0.51,9.4,0.528,0.1,0.4,0.5,0.073
Jarrett Allen,C,20,BRK,80,2034120,5.13,10.912,0.417,1.375,0.052,8.4,0.321,2.388,6.013,0.538,1.5,1.288,2.3,0.595,18.5,0.632,4.4,3.3,7.6,0.175
JaVale McGee,C,31,LAL,75,2393887,3.78,11.96,0.537,0.693,0.031,7.547,0.339,2.6,4.947,0.627,1.973,1.44,2.773,0.625,21.8,0.634,3,2.9,5.9,0.171
Jaylen Adams,PG,22,ATL,34,236854,-0.54,3.176,0.252,1.912,0.152,1.765,0.14,0.324,1.441,0.412,0.147,0.824,1.324,0.459,7.6,0.474,-0.1,0.2,0.1,0.011
Jaylen Brown,SG,22,BOS,74,5169960,0,13.027,0.504,1.351,0.052,4.23,0.164,0.878,3.351,0.932,0.432,1.338,2.514,0.525,13.5,0.547,0.7,2.4,3,0.076
Jayson Tatum,SF,20,BOS,79,6700800,2.9700000000000006,15.734,0.506,2.127,0.068,6.038,0.194,0.886,5.152,1.063,0.722,1.544,2.127,0.506,15.1,0.547,1.6,3.4,5,0.097
Jeff Green,PF,32,WAS,77,2393887,0.81,12.286,0.451,1.779,0.065,4.013,0.147,0.74,3.273,0.558,0.506,1.312,2.078,0.555,13.6,0.608,2.8,0.8,3.6,0.083
Jeff Teague,PG,30,MIN,42,19000000,1.35,12.143,0.403,8.167,0.271,2.524,0.084,0.381,2.143,1.024,0.429,2.31,2.143,0.465,15.4,0.528,1.7,0.5,2.2,0.085
Jerami Grant,PF,24,OKC,80,8333333,4.050000000000001,13.625,0.417,0.988,0.03,5.213,0.16,1.2,4.013,0.762,1.25,0.838,2.675,0.567,13.8,0.592,4,3.3,7.3,0.134
Jeremy Lamb,SG,26,CHO,79,7000000,4.86,15.291,0.537,2.177,0.076,5.494,0.193,0.823,4.671,1.114,0.405,1.013,1.772,0.499,17.3,0.552,3.3,2,5.3,0.113
Jeremy Lin,PG,30,TOT,74,12516746,-0.27,9.554,0.492,3.122,0.161,2.419,0.125,0.297,2.122,0.635,0.176,1.676,1.946,0.491,13.5,0.558,1.2,0.9,2.1,0.07
Jerian Grant,PG,26,ORL,60,2639313,0.27,4.167,0.266,2.6,0.166,1.633,0.104,0.317,1.317,0.733,0.1,0.85,1.3,0.509,10.8,0.526,0.5,1.1,1.7,0.085
Jerome Robinson,SG,21,LAC,33,3050160,-0.54,3.394,0.35,0.576,0.059,1.242,0.128,0.091,1.152,0.333,0.091,0.394,1.394,0.482,7.2,0.491,-0.2,0.3,0.1,0.012
Jerryd Bayless,PG,30,MIN,34,8575916,-1.08,6.147,0.318,3.5,0.181,1.824,0.094,0.324,1.5,0.529,0.059,0.941,1.647,0.42,8.5,0.431,-0.2,0.2,0,-0.003
Jevon Carter,PG,23,MEM,39,838464,-0.81,4.41,0.298,1.769,0.12,1.692,0.114,0.359,1.333,0.667,0.282,0.846,1.41,0.395,7.8,0.432,-0.7,0.7,0,-0.003
Jimmy Butler,SF-SG,29,TOT,65,19841627,8.64,18.692,0.556,4.046,0.12,5.262,0.157,1.862,3.4,1.892,0.6,1.462,1.708,0.499,20.2,0.571,5.4,2.5,7.9,0.173
JJ Redick,SG,34,PHI,76,12250000,3.5100000000000002,18.053,0.577,2.711,0.087,2.447,0.078,0.263,2.184,0.421,0.224,1.329,1.697,0.557,15.1,0.602,4.6,1.2,5.9,0.118
Joakim Noah,C,33,MEM,42,20261172,1.89,7.095,0.43,2.119,0.128,5.667,0.343,1.381,4.286,0.476,0.738,1.19,2.286,0.516,18.6,0.571,1,1.2,2.2,0.15
Joe Harris,SG,27,BRK,76,8333333,3.78,13.697,0.454,2.382,0.079,3.829,0.127,0.684,3.145,0.5,0.224,1.592,2.395,0.622,13.5,0.645,3.8,1.7,5.5,0.116
Joe Ingles,PF,31,UTA,82,12545455,5.940000000000001,12.122,0.387,5.72,0.183,4.024,0.129,0.427,3.598,1.195,0.244,2.354,2.195,0.565,13.4,0.581,2.5,3.6,6,0.113
Joel Embiid,C,24,PHI,64,25467250,10.26,27.516,0.818,3.656,0.109,13.609,0.404,2.5,11.109,0.719,1.906,3.531,3.297,0.517,26.1,0.593,4.9,3.8,8.7,0.194
John Collins,PF,21,ATL,61,2299080,3.5100000000000002,19.475,0.65,1.984,0.066,9.754,0.325,3.59,6.164,0.361,0.639,1.967,3.262,0.593,21.8,0.627,5,1,6,0.158
John Wall,PG,28,WAS,32,19169800,2.16,20.719,0.601,8.719,0.253,3.625,0.105,0.469,3.156,1.531,0.906,3.781,2.219,0.49,18,0.527,0.5,0.7,1.2,0.051
Jon Leuer,PF,29,DET,41,10002681,0,3.805,0.388,0.341,0.035,2.366,0.241,0.659,1.707,0.293,0.098,0.561,1.463,0.588,13.2,0.616,0.4,0.5,0.9,0.11
Jonah Bolden,PF,23,PHI,44,1690000,0.54,4.705,0.324,0.909,0.063,3.75,0.258,1.068,2.682,0.386,0.886,0.818,2.25,0.599,12.7,0.595,0.5,0.9,1.4,0.106
Jonas Jerebko,PF,31,GSW,73,2165481,1.08,6.288,0.377,1.315,0.079,3.945,0.236,0.986,2.959,0.37,0.247,0.589,1.877,0.556,13.5,0.588,2.1,1.2,3.3,0.13
Jonas Valanciunas,C,26,TOT,49,16539326,3.5100000000000002,15.571,0.699,1.429,0.064,8.551,0.384,2.163,6.388,0.388,1.082,1.837,2.98,0.572,24.4,0.616,2.2,1.9,4.2,0.183
Jonathan Isaac,PF,21,ORL,75,4969080,2.16,9.6,0.361,1.067,0.04,5.48,0.206,1.32,4.16,0.787,1.307,1,1.907,0.499,13,0.537,0.9,3.1,4,0.096
Jonathon Simmons,SG-SF,29,TOT,56,6000000,-1.62,6.536,0.344,2.286,0.12,2.25,0.118,0.482,1.768,0.518,0.268,1.214,1.589,0.42,8.5,0.466,-0.8,1.1,0.3,0.013
Jordan Bell,C,24,GSW,68,1378242,0.54,3.279,0.283,1.118,0.096,2.706,0.234,0.809,1.897,0.294,0.75,0.618,1.176,0.516,12.9,0.531,0.5,1.1,1.6,0.096
Jordan Clarkson,SG,26,CLE,81,12500000,2.16,16.84,0.616,2.42,0.089,3.333,0.122,1.012,2.321,0.704,0.16,1.667,1.383,0.509,16.8,0.539,1.9,-0.1,1.8,0.039
Jose Calderon,PG,37,DET,49,2393887,-0.81,2.306,0.179,2.347,0.182,1.224,0.095,0.224,1,0.327,0.061,0.714,1.306,0.433,7.1,0.453,0,0.5,0.6,0.043
Josh Hart,SG,23,LAL,67,1655160,0.81,7.836,0.306,1.388,0.054,3.701,0.145,0.522,3.179,0.955,0.597,0.866,2.194,0.506,9.3,0.526,0.2,1.9,2.1,0.059
Josh Jackson,SG,21,PHO,79,6041520,-3.5100000000000002,11.519,0.458,2.316,0.092,4.392,0.175,0.835,3.557,0.937,0.709,2.19,2.646,0.456,10.6,0.487,-2.8,1.1,-1.7,-0.04
Josh Okogie,SG,20,MIN,74,2163600,-1.35,7.703,0.324,1.23,0.052,2.946,0.124,0.554,2.392,1.189,0.446,0.851,2.243,0.445,9.4,0.492,-0.1,1.4,1.2,0.034
Josh Richardson,SG,25,MIA,73,9367200,4.050000000000001,16.562,0.476,4.082,0.117,3.603,0.104,0.74,2.863,1.082,0.466,1.548,2.74,0.492,14,0.536,3,2.6,5.6,0.106
Jrue Holiday,SG,28,NOP,67,26641111,8.370000000000001,21.194,0.591,7.731,0.216,4.985,0.139,1.119,3.866,1.627,0.806,3.134,2.209,0.523,19.4,0.555,3.5,1.9,5.4,0.108
Juan Hernangomez,PF,23,DEN,70,2166360,0.81,5.829,0.3,0.786,0.041,3.786,0.195,0.914,2.871,0.386,0.343,0.529,1.343,0.545,11,0.58,1.6,1.4,3,0.105
Julius Randle,PF,24,NOP,73,8641000,5.4,21.438,0.701,3.137,0.103,8.685,0.284,2.219,6.466,0.712,0.616,2.849,3.37,0.555,21,0.6,4.2,1.9,6.1,0.131
Justin Anderson,SF,25,ATL,48,2516047,-0.27,3.708,0.384,0.479,0.05,1.75,0.181,0.5,1.25,0.458,0.271,0.479,1,0.484,11.2,0.516,0.1,0.4,0.4,0.043
Justin Holiday,SG,29,TOT,82,4500000,0.27,10.451,0.329,1.78,0.056,3.939,0.124,0.561,3.378,1.476,0.439,1.268,2,0.49,10,0.52,-0.4,2.5,2.1,0.038
Justin Jackson,SF,23,TOT,81,2807880,0.54,7.198,0.361,1.185,0.059,2.617,0.131,0.543,2.074,0.395,0.173,0.358,1.222,0.537,11.3,0.561,2,0.9,2.9,0.086
Justise Winslow,SF,22,MIA,66,3448926,1.89,12.576,0.424,4.273,0.144,5.379,0.181,0.955,4.424,1.091,0.288,2.152,2.682,0.497,12.8,0.513,0.2,2.6,2.8,0.067
Jusuf Nurkic,C,24,POR,72,11111111,7.56,15.625,0.57,3.236,0.118,10.389,0.379,3.375,7.014,0.986,1.431,2.333,3.472,0.51,23.4,0.57,4.4,3.3,7.8,0.189
Karl-Anthony Towns,C,23,MIN,77,7839435,13.77,24.416,0.739,3.364,0.102,12.39,0.375,3.416,8.974,0.87,1.623,3.117,3.792,0.572,26.3,0.622,7.2,3.2,10.4,0.197
Kawhi Leonard,SF,27,TOR,60,23114066,12.690000000000001,26.6,0.782,3.317,0.098,7.317,0.215,1.3,6.017,1.767,0.4,2.017,1.45,0.546,25.8,0.606,6.1,3.4,9.5,0.224
Keita Bates-Diop,SF,23,MIN,30,838464,-0.54,5.033,0.3,0.567,0.034,2.767,0.165,0.533,2.233,0.6,0.467,0.467,0.967,0.468,9.6,0.489,0,0.4,0.3,0.032
Kelly Olynyk,PF,27,MIA,79,13537527,3.24,9.962,0.434,1.772,0.077,4.747,0.207,0.911,3.835,0.671,0.468,1.443,2.316,0.563,14.4,0.61,2.3,2.5,4.7,0.126
Kemba Walker,PG,28,CHO,82,12000000,11.880000000000003,25.634,0.734,5.902,0.169,4.402,0.126,0.634,3.768,1.244,0.415,2.573,1.598,0.511,21.7,0.558,5.5,1.9,7.4,0.123
Kenneth Faried,C,29,TOT,37,14242782,0.81,10.378,0.527,0.541,0.027,6.757,0.343,2.622,4.135,0.459,0.622,0.892,2.216,0.604,21.6,0.622,2.1,0.9,2.9,0.193
Kenrich Williams,SF,24,NOP,46,838464,0,6.065,0.259,1.804,0.077,4.761,0.203,1.196,3.565,0.978,0.413,0.783,2.065,0.477,9.7,0.485,0.3,0.9,1.2,0.053
Kent Bazemore,SG,29,ATL,67,18089888,-0.27,11.627,0.474,2.269,0.093,3.896,0.159,0.552,3.343,1.328,0.627,1.806,2.537,0.472,11.9,0.507,-0.7,1.4,0.7,0.021
Kentavious Caldwell-Pope,SG,25,LAL,82,12000000,2.16,11.439,0.461,1.341,0.054,2.902,0.117,0.585,2.317,0.89,0.159,0.793,1.671,0.53,12.9,0.568,2.3,1.8,4,0.095
Kevin Durant,SF,30,GSW,78,30000000,13.77,25.987,0.75,5.859,0.169,6.372,0.184,0.423,5.949,0.744,1.077,2.885,1.987,0.571,24.2,0.631,8.6,2.9,11.5,0.204
Kevin Huerter,SG,20,ATL,75,2250960,-0.54,9.693,0.355,2.853,0.104,3.267,0.12,0.8,2.467,0.867,0.333,1.453,2.067,0.522,10.1,0.533,0.7,0.7,1.5,0.034
Kevin Knox,PF,19,NYK,75,3744840,-5.4,12.84,0.446,1.093,0.038,4.467,0.155,0.813,3.653,0.573,0.32,1.52,2.333,0.438,8.7,0.475,-2.2,0.9,-1.3,-0.03
Kevon Looney,C,22,GSW,80,1567007,2.43,6.25,0.338,1.538,0.083,5.213,0.282,2.425,2.788,0.575,0.662,0.638,2.638,0.627,17.3,0.636,4.2,1.8,6,0.194
Khem Birch,C,26,ORL,50,1378242,1.35,4.8,0.373,0.76,0.059,3.8,0.295,1.58,2.22,0.36,0.58,0.4,1.44,0.603,19.2,0.64,1.8,1,2.8,0.212
Khris Middleton,SF,27,MIL,77,13000000,4.59,18.273,0.588,4.299,0.138,5.987,0.193,0.649,5.338,1.039,0.091,2.26,2.234,0.519,16.5,0.558,2.5,3.6,6.1,0.123
Klay Thompson,SG,28,GSW,78,18988725,3.24,21.538,0.633,2.385,0.07,3.833,0.113,0.474,3.359,1.077,0.603,1.474,2.013,0.553,16.6,0.571,2.9,2.3,5.3,0.095
Kosta Koufos,C,29,SAC,42,8739500,-0.54,3.714,0.311,0.857,0.072,4.214,0.353,1.238,2.976,0.357,0.429,0.643,1.619,0.477,12.3,0.477,0,0.7,0.7,0.063
Kris Dunn,PG,24,CHI,46,4221000,-0.54,11.283,0.374,6.022,0.199,4.065,0.135,0.413,3.652,1.478,0.457,2.261,3.609,0.458,12.4,0.484,-0.5,1.2,0.6,0.022
Kyle Anderson,SF,25,MEM,43,8641000,2.43,8.047,0.27,2.977,0.1,5.837,0.196,1.116,4.721,1.256,0.86,1.349,2.605,0.56,12.8,0.569,0.8,1.8,2.7,0.1
Kyle Korver,SG-PF,37,TOT,70,7560000,1.35,8.571,0.45,1.157,0.061,2.314,0.121,0.129,2.186,0.357,0.171,0.843,1.514,0.559,11.2,0.582,1,1.3,2.3,0.082
Kyle Kuzma,PF,23,LAL,70,1689840,1.08,18.686,0.565,2.543,0.077,5.457,0.165,0.857,4.6,0.586,0.371,1.9,2.429,0.515,14,0.546,1.2,1.9,3.1,0.065
Kyle Lowry,PG,32,TOR,65,32700000,6.48,14.246,0.418,8.677,0.255,4.8,0.141,0.631,4.169,1.4,0.477,2.8,2.554,0.518,16.5,0.562,3.6,3,6.6,0.144
Kyle O'Quinn,C,28,IND,45,4449000,0.54,3.467,0.42,1.244,0.151,2.644,0.321,0.644,2,0.2,0.556,0.689,1.511,0.511,16.8,0.537,0.2,0.8,1,0.125
Kyrie Irving,PG,26,BOS,67,20099189,13.77,23.821,0.721,6.925,0.21,5,0.151,1.06,3.94,1.537,0.507,2.567,2.493,0.557,24.3,0.592,6.2,2.9,9.1,0.197
LaMarcus Aldridge,C,33,SAS,81,22347015,7.0200000000000005,21.321,0.643,2.395,0.072,9.185,0.277,3.099,6.086,0.531,1.321,1.778,2.21,0.522,22.9,0.576,6.4,2.9,9.3,0.167
Lance Stephenson,SG,28,LAL,68,4449000,0.27,7.221,0.437,2.059,0.125,3.162,0.191,0.471,2.691,0.603,0.103,1.265,1.632,0.51,11.8,0.529,-0.1,1.2,1.1,0.049
Lance Thomas,PF,30,NYK,46,7119650,-1.89,4.457,0.262,0.587,0.034,2.543,0.149,0.457,2.087,0.37,0.152,0.522,1.804,0.452,6.4,0.482,-0.3,0.3,0.1,0.004
Landry Shamet,SG,21,TOT,79,1705920,0.54,9.139,0.401,1.481,0.065,1.696,0.074,0.266,1.43,0.468,0.127,0.57,1.962,0.581,11,0.604,2.7,0.9,3.6,0.095
Langston Galloway,SG,27,DET,80,7000000,0.54,8.4,0.385,1.062,0.049,2.138,0.098,0.612,1.525,0.462,0.1,0.3,1.688,0.503,10.7,0.534,2.1,1.3,3.4,0.094
Lauri Markkanen,PF,21,CHI,52,4536120,1.89,18.731,0.579,1.442,0.045,9.038,0.279,1.423,7.615,0.712,0.635,1.635,2.346,0.506,17.1,0.553,1.3,1.5,2.7,0.078
LeBron James,SF,34,LAL,55,35654150,13.230000000000002,27.364,0.777,8.255,0.234,8.455,0.24,1.036,7.418,1.309,0.6,3.582,1.709,0.56,25.6,0.588,4.7,2.6,7.2,0.179
Lonzo Ball,PG,21,LAL,47,7461960,1.62,9.894,0.327,5.426,0.179,5.34,0.176,1.149,4.191,1.468,0.404,2.191,2.426,0.488,11.7,0.487,-0.2,1.7,1.6,0.052
Luka Doncic,SG,19,DAL,72,6569040,9.18,21.194,0.658,5.958,0.185,7.819,0.243,1.194,6.625,1.069,0.347,3.431,1.903,0.497,19.6,0.545,2.1,2.8,4.9,0.101
Luke Kennard,SG,22,DET,63,3275280,0.81,9.73,0.427,1.81,0.079,2.905,0.127,0.19,2.714,0.413,0.159,0.905,1.46,0.54,11.9,0.56,1.3,1.3,2.5,0.085
Luke Kornet,PF,23,NYK,46,1619260,2.16,7,0.411,1.174,0.069,2.935,0.172,0.609,2.326,0.587,0.913,0.543,0.891,0.502,14.8,0.531,0.6,0.7,1.4,0.083
Malcolm Brogdon,SG,26,MIL,64,1544951,5.13,15.641,0.546,3.203,0.112,4.5,0.157,1.016,3.484,0.719,0.203,1.422,1.594,0.575,17.8,0.614,4.2,2.3,6.5,0.171
Malik Beasley,SG,22,DEN,81,1773840,2.7,11.321,0.488,1.198,0.052,2.469,0.106,0.432,2.037,0.679,0.123,0.679,1.432,0.584,14.2,0.599,2.9,1.6,4.5,0.115
Malik Monk,SG,20,CHO,73,3447480,-0.81,8.945,0.519,1.603,0.093,1.877,0.109,0.219,1.658,0.507,0.26,1.178,1.452,0.48,11.8,0.518,-0.4,0.7,0.3,0.012
Marc Gasol,C,34,TOT,79,24119025,8.370000000000001,13.557,0.44,4.418,0.143,7.937,0.257,1.013,6.924,1.063,1.089,1.962,2.747,0.505,16.7,0.546,2,4,6,0.118
Marcin Gortat,C,34,LAC,47,13565218,0.27,4.957,0.31,1.383,0.087,5.553,0.348,1.426,4.128,0.128,0.511,1.064,1.957,0.532,12.8,0.562,0.6,0.8,1.4,0.089
Marco Belinelli,SG,32,SAS,79,6153846,0.27,10.494,0.457,1.671,0.073,2.506,0.109,0.203,2.304,0.443,0.101,0.911,1.532,0.52,11.9,0.557,1.4,1.1,2.5,0.065
Marcus Morris,PF,29,BOS,75,5375000,1.62,13.947,0.5,1.453,0.052,6.107,0.219,1.013,5.093,0.573,0.333,1.227,2.413,0.533,14.2,0.568,2.1,2.5,4.5,0.104
Marcus Smart,SG,24,BOS,80,11160716,4.050000000000001,8.85,0.322,4.013,0.146,2.925,0.106,0.712,2.212,1.788,0.35,1.538,2.513,0.533,13.1,0.568,2.2,3.1,5.3,0.116
Mario Hezonja,SF,23,NYK,58,6500000,-1.35,8.81,0.424,1.517,0.073,4.121,0.198,0.483,3.638,0.983,0.138,1.517,1.897,0.457,10.8,0.497,-1.1,1.1,-0.1,-0.003
Markieff Morris,PF,29,TOT,58,9173294,-0.54,9.431,0.431,1.362,0.062,4.569,0.209,1.052,3.517,0.621,0.379,0.931,3.017,0.492,11.7,0.521,0.6,1.1,1.6,0.061
Marquese Chriss,PF,21,TOT,43,3206160,-1.89,4.233,0.365,0.512,0.044,3.302,0.285,0.93,2.372,0.395,0.256,0.837,1.884,0.417,9.2,0.455,-0.6,0.4,-0.2,-0.023
MarShon Brooks,SG,30,MEM,29,1656092,-0.27,6.552,0.491,0.862,0.065,1.552,0.116,0.414,1.138,0.31,0.138,0.724,1.138,0.494,11.6,0.518,-0.2,0.3,0.1,0.018
